frame_token,rank,share,nansen_label,insider_reviewed,entity_type,confidence,reason
DRIFT,1,0.1409,Upbit: Internal Wallet [FH9iLV5Z],False,exchange,high,"Upbit is a major Korean CEX; internal wallet is exchange custody, not project-controlled."
DRIFT,2,0.0549,,False,unlabeled,high,Empty label / bare address; unlabeled survivor treated as retail.
DRIFT,3,0.04,Drift [7LCwgH3T],True,treasury,medium,Wallet labeled with just the bare protocol name 'Drift' = project/team-controlled operational wallet.
DRIFT,4,0.0267,Coinbase: Deposit [EPpctwZp],False,exchange,high,"Coinbase deposit address; CEX custody, not insider."
DRIFT,5,0.0224,[DemTRm4s],False,unlabeled,high,Bare bracketed hex address with no Nansen attribution; unlabeled retail.
DRIFT,6,0.0151,DRIFT Investment Recipient [3VYKR2SW],True,investor,high,'<TOKEN> Investment Recipient' is an investor allocation per rule; insider.
DRIFT,7,0.0145,Drift Foundation [HPjkU5hU],True,foundation,high,Protocol foundation = team/treasury entity; insider.
DRIFT,8,0.0117,DRIFT Custody Vaults [87HMEidQ],True,treasury,low,'<Protocol> Custody Vaults' ambiguous: protocol-custodied team treasury vs DeFi user-deposit vaults (Drift's vault product); called insider per protocol-custody rule but low-confidence.
DRIFT,9,0.011,Bybit: Hot Wallet [5LZkATrL],False,exchange,high,"Bybit CEX hot wallet; exchange, not insider."
DRIFT,10,0.0089,Bithumb: Hot Wallet [8Mm46Csq],False,exchange,high,"Bithumb is a major Korean CEX hot wallet; exchange, not insider."
ENS,1,0.0352,Nick Johnson [0x2cd5bb],True,founder,high,Nick Johnson is the lead developer and founder of ENS (Ethereum Name Service); a named protocol founder/team member.
ENS,2,0.0253,Bithumb: Hot Wallet [0x498697],False,exchange,high,"Bithumb is a Korean centralized exchange; explicit hot wallet, not insider."
ENS,3,0.0079,Token Millionaire [0xa0b49e],False,retail,high,Generic Nansen whale/retail tag with no protocol tie; retail holder.
ENS,4,0.0075,OKX: Deposit [0x073f56],False,exchange,high,OKX centralized-exchange deposit wallet; not insider.
ENS,5,0.0044,Token Millionaire [0x6a496c],False,retail,high,"Generic whale/retail tag, no project association; retail."
ENS,6,0.0036,Bybit [0x187c9f],False,exchange,high,Bybit centralized exchange wallet; not insider.
ENS,7,0.0033,Token Millionaire [0x801960],False,retail,high,"Generic whale/retail tag, no project tie; retail."
ENS,8,0.0027,,False,unlabeled,high,"Empty label / bare address, unmatched in Nansen top set; treat as unlabeled retail, not insider."
ENS,9,0.0024,Gnosis Safe Proxy [0x4e5cb5],True,multisig,low,"Gnosis Safe multisig (team-controlled class) but BARE/unattributed: no protocol name or known owner, so could be a user Safe rather than ENS team; insider per multisig rule at low confidence."
ENS,10,0.0022,BTCTurk [0x76ec5a],False,exchange,high,BTCTurk Turkish centralized exchange wallet; not insider.
ETHFI,1,0.1115,ETHFI Investment Recipient [0x95bf94],True,investor,high,'<TOKEN> Investment Recipient' is an explicit investor/insider allocation per rule.
ETHFI,2,0.0449,ETHFI Investment Recipient [0xf10873],True,investor,high,ETHFI Investment Recipient -> investor allocation; insider.
ETHFI,3,0.0394,Token Millionaire [0xf619ab],False,retail,high,"'Token Millionaire' is a behavioral retail-whale label, not a project entity."
ETHFI,4,0.0319,ETHFI Investment Recipient [0x6630ff],True,investor,high,ETHFI Investment Recipient -> investor allocation; insider.
ETHFI,5,0.0304,Token Millionaire [0x7a9319],False,retail,high,"'Token Millionaire' behavioral retail label, no project tie."
ETHFI,6,0.0193,Binance: Wallet [0x43684d],False,exchange,high,"Binance CEX wallet -> exchange, not insider."
ETHFI,7,0.0174,ether.fi: DAO Treasury [0x7d4bbe],True,treasury,high,ether.fi DAO Treasury is the protocol's own treasury; team/project-controlled insider.
ETHFI,8,0.0168,Binance [0x5a52e9],False,exchange,high,"Binance CEX -> exchange, not insider."
ETHFI,9,0.015,,False,unlabeled,high,"No Nansen label / unmatched survivor -> unlabeled retail, not insider."
ETHFI,10,0.014,Token Millionaire [0x133166],False,retail,high,"'Token Millionaire' behavioral retail label, no project tie."
GEOD,1,0.0616,Token Vault [0x3a6906],False,protocol_contract,low,"Generic Nansen 'Token Vault' auto-label = a contract custodying tokens, no GEOD/project name attributing it to the team; ambiguous between a generic deposit/reward vault and a team vesting/treasury vault, so not classed insider on the label alone."
GEOD,2,0.0407,Token Millionaire [0x47c8eb],False,retail,high,'Token Millionaire' is a large-holder retail tag with no project tie; per rule = retail.
GEOD,3,0.0375,Token Millionaire [0xcdd8dc],False,retail,high,"'Token Millionaire' large-holder retail tag, no project affiliation; retail."
GEOD,4,0.0204,Token Millionaire [0x3783f3],False,retail,high,"'Token Millionaire' large-holder retail tag, no project affiliation; retail."
GEOD,5,0.0204,Multisig [0xcecccb],True,multisig,low,Team-controlled multisig per insider rule; bare/unattributed (no protocol name / no known owner) so confidence low.
GEOD,6,0.0173,Multisig [0xcdfd8e],True,multisig,low,Team-controlled multisig per insider rule; bare/unattributed (no protocol name / no known owner) so confidence low.
GEOD,7,0.0127,ParaFi Capital [0x3ad45f],True,investor,high,ParaFi Capital is a named crypto VC/investment fund explicitly on the insider investor list; insider investor.
GEOD,8,0.0088,Gate: Wallet [0x0d0707],False,exchange,high,"Gate centralized-exchange wallet; CEX custody, not insider."
GEOD,9,0.0088,GSR:  [0xe92e65],False,market_maker,medium,GSR is a market maker / trading desk; not insider absent evidence of project-seeding from the bare label.
GEOD,10,0.0082,GEOD Staking Pool [0x682ba8],False,protocol_contract,high,"Named staking pool contract (user-staking aggregation), not a team-controlled treasury; protocol contract, not insider."
GMX,1,0.067,GMX_LockboxAdapter [0x02984c],False,protocol_contract,high,"LockboxAdapter is a cross-chain xERC20 bridge/lockbox infra contract for moving GMX across chains; protocol infrastructure, not a team treasury."
GMX,2,0.0273,GMX Staking Pool [0x0755d3],False,protocol_contract,high,"Staking pool custodies user-staked GMX (aggregated user deposits), not a team/insider allocation."
GMX,3,0.0267,Uniswap: GMX-ETH Liquidity Pool [0x80a9ae],False,lp,high,"Uniswap AMM liquidity pool holding user-provided liquidity; DEX LP, not insider."
GMX,4,0.0142,SafeProxy [0xc6378d],True,multisig,low,"Bare unattributed Gnosis SafeProxy with no protocol name or known owner; team-controlled multisig presumption per rule, but unattributed so low confidence."
GMX,5,0.0138,OKX [0xafee42],False,exchange,high,"OKX centralized-exchange wallet; custodial exchange holdings, not insider."
GMX,6,0.0137,GMX: GMX Timelock [0x68863d],True,treasury,medium,"GMX governance/admin Timelock contract custodying GMX under team/governance control; team-controlled admin infrastructure, not user-aggregation."
GMX,7,0.0124,SafeProxy [0x4d4dc3],True,multisig,low,"Second bare unattributed SafeProxy, no owner attribution; team-controlled multisig presumption, low confidence due to missing attribution."
GMX,8,0.0095,GMX: Gmx Vester [0x199070],True,vesting,high,GMX Vester is the team/contributor token-vesting contract; vesting allocation is insider by rule.
GMX,9,0.0069,Binance: Wallet [0x25681a],False,exchange,high,"Binance centralized-exchange wallet; custodial exchange holdings, not insider."
GMX,10,0.0065,GMX Market [0xbd4814],False,protocol_contract,high,"GMX V2 Market contract holding pooled LP liquidity / trader collateral; protocol contract, not team allocation."
GRASS,1,0.1601,,False,unlabeled,high,"Empty/bare label, not matched in Nansen top set; largest holder but no project tie -> unlabeled, treat as retail per rule (do not assume insider)."
GRASS,2,0.066,Gate: Wallet [u6PJ8DtQ],False,exchange,high,"Gate.io centralized-exchange wallet; CEX custody, not a protocol insider."
GRASS,3,0.0316,,False,unlabeled,high,"Empty label, no Nansen attribution and no project tie -> unlabeled, low-balance survivor classed retail."
GRASS,4,0.0265,,False,unlabeled,high,"Empty label, no attribution -> unlabeled retail; no team/treasury/investor signal."
GRASS,5,0.0224,,False,unlabeled,high,"Empty label, no attribution -> unlabeled retail."
GRASS,6,0.0193,,False,unlabeled,high,"Empty label, no attribution -> unlabeled retail."
GRASS,7,0.0171,,False,unlabeled,high,"Empty label, no attribution -> unlabeled retail."
GRASS,8,0.0135,,False,unlabeled,high,"Empty label, no attribution -> unlabeled retail."
GRASS,9,0.0126,,False,unlabeled,high,"Empty label, no attribution -> unlabeled retail."
GRASS,10,0.0124,,False,unlabeled,high,"Empty label, no attribution -> unlabeled retail."
GRT,1,0.0794,Upbit [0x823fd1],False,exchange,high,"Upbit is a major South Korean centralized exchange; CEX wallet, not insider."
GRT,2,0.055,Token Millionaire [0xfcb40a],False,retail,high,"Token Millionaire is a Nansen retail behavioral label, no project tie."
GRT,3,0.0239,Token Millionaire [0x5b0a3c],False,retail,high,"Token Millionaire is a Nansen retail behavioral label, no project tie."
GRT,4,0.0157,Luno: Wallet [0x3a5cc8],False,exchange,high,"Luno is a centralized exchange (DCG-owned); CEX wallet, not insider."
GRT,5,0.0156,Coinbase Prime: Custody Wallet [0x5eb529],False,exchange,high,"Coinbase Prime custody = CEX custody wallet, explicitly not insider per rule."
GRT,6,0.0129,BTCTurk [0x76ec5a],False,exchange,high,"BTCTurk is a Turkish centralized exchange; CEX wallet, not insider."
GRT,7,0.0118,Bithumb: Wallet [0xeb8ee0],False,exchange,high,"Bithumb is a major South Korean centralized exchange; CEX wallet, not insider."
GRT,8,0.0101,Kraken [0x7dafba],False,exchange,high,"Kraken is a major centralized exchange; CEX wallet, not insider."
GRT,9,0.0098,,False,unlabeled,high,"Empty label, unmatched in Nansen top set; unlabeled survivor treated as retail."
GRT,10,0.0095,The Graph: Multisig [0x8e1aff],True,multisig,high,"The Graph protocol multisig; team-controlled, protocol-attributed insider."
HNT,1,0.1243,Bybit: Hot Wallet [5LZkATrL],False,exchange,high,"Bybit centralized-exchange hot wallet; CEX custody, not project-controlled."
HNT,2,0.0876,Helium: HNT Distributor [4UiT93ty],False,protocol_contract,high,"Emissions/reward distributor contract for DePIN proof-of-coverage payouts; distributor carve-out, not a team treasury holding."
HNT,3,0.0646,Helium [2AdZQmGi],True,treasury,medium,Wallet labeled with the bare project name (not a distributor/contract); project/foundation-controlled treasury-class holding by the Helium team.
HNT,4,0.0512,Crypto.com [22Wnk8Pw],False,exchange,high,Crypto.com centralized exchange custody wallet; not insider.
HNT,5,0.0386,Helium: HNT Distributor [73zsmmqC],False,protocol_contract,high,"Second emissions/reward distributor contract; distributor carve-out, not team treasury."
HNT,6,0.0382,Binance US: Hot Wallet [53unSgGW],False,exchange,high,"Binance US CEX hot wallet; exchange custody, not insider."
HNT,7,0.0327,Kraken [EFE3j1pc],False,exchange,high,Kraken centralized exchange wallet; not insider.
HNT,8,0.0275,,False,unlabeled,high,"No Nansen label; bare survivor low-balance now, treated as retail per unlabeled rule."
HNT,9,0.0205,[8iQY3mJN],False,unlabeled,high,"Bracketed hex address only, no name or project tie; treated as unlabeled retail."
HNT,10,0.0168,,False,unlabeled,high,No Nansen label; unlabeled retail.
HONEY,1,0.037,[FZ9diFCJ],False,unlabeled,high,"Bare bracketed hex address, no Nansen entity label; per rule unlabeled bare hex is retail/unlabeled, not insider."
HONEY,2,0.0346,[A6zNJCrS],False,unlabeled,high,"Bare bracketed hex address, no Nansen label; unlabeled survivor treated as retail, insider=false."
HONEY,3,0.0304,Hivemapper [8MgKUjhQ],True,treasury,high,"Wallet labeled with the protocol's own name (Hivemapper), no exchange/deposit suffix; a project-controlled treasury/team operating address for the HONEY-issuing protocol."
HONEY,4,0.0234,Hivemapper [EAmeyPtA],True,treasury,high,"Second wallet labeled with the bare protocol name Hivemapper; project-controlled treasury/team address, insider by team-custody."
HONEY,5,0.0222,[D99E2pr7],False,unlabeled,high,"Bare bracketed hex address with no entity attribution; unlabeled, treated as retail, insider=false."
HONEY,6,0.0221,Hivemapper: Deposit [HyW7x3gF],True,treasury,low,"Carries the protocol namespace prefix Hivemapper: and custodies HONEY for protocol operations/distribution; project-operated, leans team treasury, but the Deposit suffix is ambiguous (could be routing infrastructure), so low confidence."
HONEY,7,0.0199,High Balance [Fe3XYFYa],False,retail,medium,"Generic Nansen heuristic label for a large-balance wallet with no entity/project attribution; a whale holder, not a protocol insider."
HONEY,8,0.0193,Coinbase: Deposit [FsAA2JoV],False,exchange,high,"Coinbase deposit address; centralized-exchange wallet, explicitly not insider."
HONEY,9,0.0193,Coinbase: Deposit [3A6s38hS],False,exchange,high,"Coinbase deposit address; centralized-exchange wallet, not insider."
HONEY,10,0.0187,Coinbase: Deposit [5YMPkRAQ],False,exchange,high,"Coinbase deposit address; centralized-exchange wallet, not insider."
IO,1,0.0765,Token Millionaire [28SqbTKJ],False,retail,high,"Nansen generic balance-tier label (Token Millionaire); rule explicitly classifies as retail, no project tie."
IO,2,0.0461,[6erNn9LP],False,unlabeled,high,Bare bracketed hex address with no Nansen label; unlabeled survivor treated as retail/non-insider.
IO,3,0.0398,Token Millionaire [Gm9t9T9m],False,retail,high,"Generic Token Millionaire balance-tier label; retail per rule, no team/treasury/investor signal."
IO,4,0.0377,Token Millionaire [Fo7DTEWg],False,retail,high,"Generic Token Millionaire balance-tier label; retail per rule, no project tie."
IO,5,0.0338,Token Millionaire [7oemYfuh],False,retail,high,Generic Token Millionaire balance-tier label; retail per rule.
IO,6,0.0235,Token Millionaire [BB6toFFM],False,retail,high,Generic Token Millionaire balance-tier label; retail per rule.
IO,7,0.0214,Token Millionaire [6FHTSZaY],False,retail,high,Generic Token Millionaire balance-tier label; retail per rule.
IO,8,0.0206,Bithumb: Hot Wallet [8Mm46Csq],False,exchange,high,"Bithumb is a South Korean centralized exchange; hot wallet is custodial CEX infrastructure, not insider."
IO,9,0.0198,[DZ2hv4ZE],False,unlabeled,high,Bare bracketed hex address with no Nansen label; unlabeled survivor treated as retail/non-insider.
IO,10,0.0183,Token Millionaire [8nxaFYPg],False,retail,high,"Generic Token Millionaire balance-tier label; retail per rule, no project tie."
IOTX,1,0.0153,High Balance [0x476157],False,retail,medium,"Generic Nansen 'High Balance' behavioral tag; no protocol/team/investor attribution, treat as large retail holder."
IOTX,2,0.015,IOTX Investment Recipient [0x58bc01],True,investor,high,'<TOKEN> Investment Recipient' label = project insider allocation to an IOTX investor; insider per rule.
IOTX,3,0.0144,High Balance [0xcbe652],False,retail,medium,"Generic 'High Balance' tag with no project tie; large holder, not an identified insider entity."
IOTX,4,0.0138,Coinbase Prime: Custody Wallet [0xc579ea],False,exchange,high,Coinbase Prime custody = centralized-exchange custody wallet; not protocol insider.
IOTX,5,0.012,Coinbase Prime: Custody Wallet [0x450e91],False,exchange,high,"Second Coinbase Prime custody wallet; centralized-exchange custody, not insider."
IOTX,6,0.0102,High Balance [0xc59b96],False,retail,medium,Generic 'High Balance' behavioral tag; no protocol/team/investor attribution.
IOTX,7,0.0101,High Balance [0x460829],False,retail,medium,Generic 'High Balance' tag; large holder with no project tie.
IOTX,8,0.005,High Balance [0x244491],False,retail,medium,Generic 'High Balance' tag; no insider attribution.
IOTX,9,0.0029,eToro: Wallet [0x77fb35],False,exchange,high,"eToro is a brokerage/exchange; 'eToro: Wallet' is exchange-controlled custody, not protocol insider."
IOTX,10,0.0021,machinefi.eth [0xfe7bcb],True,team,medium,machinefi.eth ENS maps to IoTeX's flagship MachineFi brand/MachineFi Lab (the core IoTeX dev entity); project-team-controlled wallet.
JUP,1,0.1945,Upbit [27b4PRN7],False,exchange,high,"Upbit is a major Korean centralized exchange; CEX wallet, not protocol insider."
JUP,2,0.0747,Backpack Exchange: Wallet [43DbAvKx],False,exchange,high,"Backpack Exchange is a centralized exchange; exchange wallet, not insider."
JUP,3,0.0434,Bybit: Hot Wallet [Gem2VAyp],False,exchange,high,"Bybit is a major CEX; hot wallet holding customer assets, not insider."
JUP,4,0.0378,Jupiter: USDC-jupSOL Supply Vault [7s1da8Dd],False,protocol_contract,medium,"Jupiter lending Supply Vault aggregates user-supplied USDC liquidity (jupSOL market), a DeFi protocol contract holding user deposits, not team treasury custody."
